title,creators,title_screen,abstract_screen,reason
A platform for validation and verification of models for concrete and concrete structures,"J.F. Unger ; Unger, J.F. ; Robens-Radermacher, A. ; A. Robens-Radermacher ; S.M. Rosenbusch ; Rosenbusch, S.M. ; Tyagi, D. ; D. Tyagi ; D. Iglezakis ; Iglezakis, D. ; M. Jafarkhani ; Jafarkhani, M.; Meschke, Guünther ; Pichler, Bernhard ; Rots, Jan G.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
AIMMX: Artificial Intelligence Model Metadata Extractor,"Tsay, Jason ; Braz, Alan ; Hirzel, Martin ; Shinnar, Avraham ; Mummert, Todd",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
A Building Integrated Control Platform Oriented Towards Intelligent Building,"Yan, Feng",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Public package repos expose thousands of API security tokens—and they’re active,Andrey Polkovnychenko and Shachar Menashe,FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Building Python-Based Topologies for Massive Processing of Social Media Data in Real Time,"Martínez-Castaño, Rodrigo ; Pichel, Juan C. ; Losada, David E.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"Ultimate Django for Web App Development Using Python : Build Modern, Reliable and Scalable Production-Grade Web Applications with Django and Python (English Edition)","Lazzaro, Leonardo Luis, author.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Designing hexagonal architecture with Java : an architect's guide to building maintainable and change-tolerant applications with Java and Quarkus,"Vieira, Davi, author.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Ten simple rules for writing Dockerfiles for reproducible data science,"Nüst, Daniel ; Sochat, Vanessa ; Marwick, Ben ; Eglen, Stephen J. ; Head, Tim ; Hirst, Tony ; Evans, Benjamin D.",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
The Naïve Bayes classifier++ for metagenomic taxonomic classification—query evaluation,"Duan, Haozhe (Neil) ; Hearne, Gavin ; Polikar, Robi ; Rosen, Gail L",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
GitHub’s Super Linter is ‘one linter to rule them all,"Krill, Paul",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
MetaPalette: a k -mer Painting Approach for Metagenomic Taxonomic Profiling and Quantification of Novel Strain Variation,"Koslicki, David ; Falush, Daniel",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Detection and Mitigation of Security Threats Using Virtualized Network Functions in Software-Defined Networks,"Domínguez-Dorado, Manuel ; Calle-Cancho, Jesús ; Galeano-Brajones, Jesús ; Rodríguez-Pérez, Francisco-Javier ; Cortés-Polo, David",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"Containerization technologies: taxonomies, applications and challenges","Bentaleb, Ouafa ; Belloum, Adam S. Z. ; Sebaa, Abderrazak ; El-Maouhab, Aouaouche",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Secure container Orchestration: A framework for detecting and mitigating Orchestrator - level vulnerabilities,"Mahavaishnavi, V. ; Saminathan, R. ; Prithviraj, R.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"On the Security of Containers: Threat Modeling, Attack Analysis, and Mitigation Strategies","Wong, Ann Yi ; Chekole, Eyasu Getahun ; Ochoa, Martín ; Zhou, Jianying",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
GRAViTy-V2: a grounded viral taxonomy application,"Mayne, Richard ; Aiewsakun, Pakorn ; Turner, Dann ; Adriaenssens, Evelien M ; Simmonds, Peter",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Research on the Development of a Building Model Management System Integrating MQTT Sensing,"Wang, Ziang ; Xiao, Han ; Guan, Changsheng ; Zhou, Liming ; Fu, Daiguang",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Structured information on state and evolution of dockerfiles on github,"Schermann, Gerald ; Zumberi, Sali ; Cito, Jürgen",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
"Inferences on the evolution of the ascorbic acid synthesis pathway in insects using Phylogenetic Tree Collapser (PTC), a tool for the automated collapsing of phylogenetic trees using taxonomic information","Glez-Peña, Daniel ; López-Fernández, Hugo ; Duque, Pedro ; Vieira, Cristina P. ; Vieira, Jorge",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
A clustering-based approach for mining dockerfile evolutionary trajectories,"Zhang, Yang ; Wang, Huaimin ; Filkov, Vladimir",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Prediction of homologous recombination deficiency identifies colorectal tumors sensitive to PARP inhibition,"Corti, Giorgio ; Buzo, Kristi ; Berrino, Enrico ; Miotto, Martina ; Aquilano, Maria Costanza ; Lentini, Marilena ; Bellomo, Sara Erika ; Lorenzato, Annalisa ; Bartolini, Alice ; Mauri, Gianluca ; Lazzari, Luca ; Russo, Mariangela ; Di Nicolantonio, Federica ; Siena, Salvatore ; Marsoni, Silvia ; Marchiò, Caterina ; Bardelli, Alberto ; Arena, Sabrina",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Detection and Analysis of Poisoned Image in Container Registry,"Pang, Siyuan ; Wang, Yongshan ; Yao, Yepeng ; Jiang, Zhengwei ; Fan, Zijing ; Liu, Baoxu",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
SoMaCX: a complex generative genome modeling framework,"Becker, Timothy James",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
On the Taxonomy of Developers' Discussion Topics with ChatGPT,"Sagdic, Ertugrul ; Bayram, Arda ; Islam, Md Rakibul",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
A Dataset of Dockerfiles,"Henkel, Jordan ; Bird, Christian ; Lahiri, Shuvendu K. ; Reps, Thomas",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
multistrap: boosting phylogenetic analyses with structural information,"Baltzis, Athanasios ; Santus, Luisa ; Langer, Björn E. ; Magis, Cedrik ; de Vienne, Damien M. ; Gascuel, Olivier ; Mansouri, Leila ; Notredame, Cedric",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Fungal metabarcoding data integration framework for the MycoDiversity DataBase (MDDB),"Martorelli, Irene ; Helwerda, Leon S. ; Kerkvliet, Jesse ; Gomes, Sofia I. F. ; Nuytinck, Jorinde ; van der Werff, Chivany R. A. ; Ramackers, Guus J. ; Gultyaev, Alexander P. ; Merckx, Vincent S. F. T. ; Verbeek, Fons J.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Status of the Deep Learning-Based Shattered Pellet Injection Shard Tracking at ASDEX Upgrade,"Illerhaus, Johannes ; Treutterer, W. ; Heinrich, P. ; Miah, M. ; Papp, G. ; Peherstorfer, T. ; Sieglin, B. ; Toussaint, U. v. ; Zohm, H. ; Jenko, F.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Semi-Supervised Learning Based Tag Recommendation for Docker Repositories,"Chen, Wei ; Zhou, Jia-Hong ; Zhu, Jia-Xin ; Wu, Guo-Quan ; Wei, Jun",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Leveraging Kernel Security Mechanisms to Improve Container Security: a Survey,"Bélair, Maxime ; Laniepce, Sylvie ; Menaud, Jean-Marc",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
What Quality Aspects Influence the Adoption of Docker Images?,"Rosa, Giovanni ; Scalabrino, Simone ; Bavota, Gabriele ; Oliveto, Rocco",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
SecCo: Automated Services to Secure Containers in the DevOps Paradigm,"Verderame, Luca ; Caviglione, Luca ; Carbone, Roberto ; Merlo, Alessio",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"GothX: a generator of customizable, legitimate and malicious IoT network traffic","Poisson, Manuel ; Carnier, Rodrigo ; Fukuda, Kensuke",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Global experimental verification of Docker-based secured mVoIP to protect against eavesdropping and DoS attacks,"Cha, ByungRae ; Kim, JongWon ; Moon, HaeMin ; Pan, SungBum",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Interference-aware Multiplexing for Deep Learning in GPU Clusters: A Middleware Approach,"Chen, Wenyan ; Mo, Zizhao ; Xu, Huanle ; Ye, Kejiang ; Xu, Chengzhong",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Automating the Quantitative Analysis of Reproducibility for Build Artifacts derived from the Android Open Source Project,"Pöll, Manuel ; Roland, Michael",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
CC2Vec: distributed representations of code changes,"Hoang, Thong ; Kang, Hong Jin ; Lo, David ; Lawall, Julia",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
FAIRJupyter4AI: A Corpus of Computational Notebooks for AI,"Mietchen, Daniel ; Samuel, Sheeba",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
PANDAcap: a framework for streamlining collection of full-system traces,"Stamatogiannakis, Manolis ; Bos, Herbert ; Groth, Paul",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Secure Execution of Containers,"Santos,Afonso Capela Cucharra dos",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Snyk Limited - Strategic SWOT Insights,,FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Clustering co-abundant genes identifies components of the gut microbiome that are reproducibly associated with colorectal cancer and inflammatory bowel disease,"Minot, Samuel S. ; Willis, Amy D.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
D-Tagger: A Tag Recommendation Approach for Docker Repositories,"Yin, Kang ; Zhou, Jiahong ; Chen, Wei ; Wu, Guoquan ; Zhu, Jiaxin ; Wei, Jun",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Simulafed: an enhanced federated simulated environment for privacy and security in health: SimulaFed: an enhanced federated,"Rivas, Jose M. ; Fernandez-Basso, Carlos ; Morcillo-Jimenez, Roberto ; Paños-Basterra, Juan ; Ruiz, M. Dolores ; Martin-Bautista, Maria J.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
JARVIS-Leaderboard: a large scale benchmark of materials design methods,"Choudhary, Kamal ; Wines, Daniel ; Li, Kangming ; Garrity, Kevin F. ; Gupta, Vishu ; Romero, Aldo H. ; Krogel, Jaron T. ; Saritas, Kayahan ; Fuhr, Addis ; Ganesh, Panchapakesan ; Kent, Paul R. C. ; Yan, Keqiang ; Lin, Yuchao ; Ji, Shuiwang ; Blaiszik, Ben ; Reiser, Patrick ; Friederich, Pascal ; Agrawal, Ankit ; Tiwary, Pratyush ; Beyerle, Eric ; Minch, Peter ; Rhone, Trevor David ; Takeuchi, Ichiro ; Wexler, Robert B. ; Mannodi-Kanakkithodi, Arun ; Ertekin, Elif ; Mishra, Avanish ; Mathew, Nithin ; Wood, Mitchell ; Rohskopf, Andrew Dale ; Hattrick-Simpers, Jason ; Wang, Shih-Han ; Achenie, Luke E. K. ; Xin, Hongliang ; Williams, Maureen ; Biacchi, Adam J. ; Tavazza, Francesca",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Quick Analysis of Sedimentary Ancient DNA Using quicksand,"Szymanski, Merlin ; Visagie, Johann ; Romagné, Frédéric ; Meyer, Matthias ; Kelso, Janet",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Mining Long Tail Bugs: Identifying Rare and Overlooked Issues in Code,"Liang, Wentao ; Wu, Yanjun ; Ling, Xiang ; Luo, Tianyue ; Liu, Dinghao ; Zhang, Haotian ; Wu, Jingzheng",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"Entropic Ranks: A Methodology for Enhanced, Threshold-Free, Information-Rich Data Partition and Interpretation","de Lastic, Hector-Xavier ; Liampa, Irene ; G. Georgakilas, Alexandros ; Zervakis, Michalis ; Chatziioannou, Aristotelis",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
A new cyanobacterial species with a protective effect on lettuce grown under salinity stress: Envisaging sustainable agriculture practices,"Brito, Ângela ; Rocha, Mariana ; Kaštovský, Jan ; Vieira, Jorge ; Vieira, Cristina P. ; Ramos, Vitor ; Correia, Manuel ; Santos, Marina ; Mota, Rita ; Roque, Jéssica ; Pissarra, João ; Melo, Paula ; Tamagnini, Paula",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Advancing research software engineering with AI: a research framework,"Farshidi, Siamak ; Bennin, Kwabena Ebo ; Babur, Önder ; Sallou, June ; Kassahun, Ayalew ; Tekinerdogan, Bedir",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Simulafed: an enhanced federated simulated environment for privacy and security in health,"Rivas, Jose M. ; Fernandez-Basso, Carlos ; Morcillo-Jimenez, Roberto ; Paños-Basterra, Juan ; Ruiz, M. Dolores ; Martin-Bautista, Maria J.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Optimizing Tensor Computation Graphs with Equality Saturation and Monte Carlo Tree Search,"Hartmann, Jakob ; He, Guoliang ; Yoneki, Eiko",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Towards Efficient Resource Allocation for Federated Learning in Virtualized Managed Environments,"Nikolaidis, Fotis ; Symeonides, Moysis ; Trihinas, Demetris",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
A Hybrid Virtualization Approach to Emulate Network Nodes of Heterogeneous Architectures,"Lai, Junyu ; Tian, Jiaqi ; Liu, Rui ; Yang, Zheng ; Jiang, Dingde",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
ECSTATIC: An Extensible Framework for Testing and Debugging Configurable Static Analysis,"Mordahl, Austin ; Zhang, Zenong ; Soles, Dakota ; Wei, Shiyi",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Computational and Communication Infrastructure Challenges for Resilient Cloud Services,"Martinez, Heberth F. ; Mondragon, Oscar H. ; Rubio, Helmut A. ; Marquez, Jack",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
The roles of code in biology,"Lawlor, Brendan ; Sleator, Roy D",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
fAmulet: Finding Finalization Failure Bugs in Polygon zkRollup,"Li, Zihao ; Peng, Xinghao ; He, Zheyuan ; Luo, Xiapu ; Chen, Ting",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"Context, Reasoning, and Hierarchy: A Cost-Performance Study of Compound LLM Agent Design in an Adversarial POMDP","Bogdanov, Igor ; Lung, Chung-Horng ; Kunz, Thomas ; Gao, Jie ; Taylor, Adrian ; Zaman, Marzia",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Docker ecosystem – Vulnerability Analysis,"Martin, A. ; Raponi, S. ; Combe, T. ; Di Pietro, R.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Dr. Docker: A Large-Scale Security Measurement of Docker Image Ecosystem,"Shi, Hequan ; Ying, Lingyun ; Chen, Libo ; Duan, Haixin ; Liu, Ming ; Xue, Zhi",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Accelerating the Inference of the Exa.TrkX Pipeline,"Lazar, Alina ; Ju, Xiangyang ; Murnane, Daniel ; Calafiura, Paolo ; Farrell, Steven ; Xu, Yaoyuan ; Spiropulu, Maria ; Vlimant, Jean-Roch ; Cerati, Giuseppe ; Gray, Lindsey ; Klijnsma, Thomas ; Kowalkowski, Jim ; Atkinson, Markus ; Neubauer, Mark ; DeZoort, Gage ; Thais, Savannah ; Hsu, Shih-Chieh ; Aurisano, Adam ; Hewes, Jeremy ; Ballow, Alexandra ; Acharya, Nirajan ; Wang, Chun-yi ; Liu, Emma ; Lucas, Alberto",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Defining and generating multi-level and uncertainty-wise test oracles for cyber-physical systems: Defining and generating multi-level and uncertainty-wise test oracles,"Valle, Pablo ; Arrieta, Aitor ; Han, Liping ; Ali, Shaukat ; Yue, Tao",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Towards an Agentic AI-Enabled Blockchain-Based Fish Supply Chain Using Hyperledger Fabric,"Ismail, Shereen ; Othman, Bashar ; Reza, Hassan ; Teshome Hunde, Eden",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Python Fuzzing for Trustworthy Machine Learning Frameworks,"Yegorov, I. ; Kobrin, E. ; Parygina, D. ; Vishnyakov, A. ; Fedotov, A.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Urban biogeography of fungal endophytes across San Francisco,"Gibson, Emma ; Zimmerman, Naupaka B.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
AmpWrap: a one-line fully automated amplicon metabarcoding 16S and 18S rRNA gene analysis,"Doni, Lapo ; Marotta, Alessia ; Vezzulli, Luigi ; Bosi, Emanuele",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Testing static analyses for precision and soundness,"Taneja, Jubi ; Liu, Zhengyang ; Regehr, John",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
funcX: A Federated Function Serving Fabric for Science,"Chard, Ryan ; Babuji, Yadu ; Li, Zhuozhao ; Skluzacek, Tyler ; Woodard, Anna ; Blaiszik, Ben ; Foster, Ian ; Chard, Kyle",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Method Resource Sharing in On-Premises Environment Based on Cross-Origin Resource Sharing and its Application for Safety-First Constructions,"Arai, Kohei ; Norikoshi, Kodai ; Oda, Mariko",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
OpenUAV: a UAV testbed for the CPS and robotics community,"Schmittle, Matt ; Lukina, Anna ; Vacek, Lukas ; Das, Jnaneshwar ; Buskirk, Christopher P. ; Rees, Stephen ; Sztipanovits, Janos ; Grosu, Radu ; Kumar, Vijay",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
metaXplor: an interactive viral and microbial metagenomic data manager,"Sempéré, Guilhem ; Pétel, Adrien ; Abbé, Magsen ; Lefeuvre, Pierre ; Roumagnac, Philippe ; Mahé, Frédéric ; Baurens, Gaël ; Filloux, Denis",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
The effect of levofloxacin on the lung microbiota of laboratory rats,"Finn, Sade M. B. ; Scheuermann, Uwe ; Holzknecht, Zoie E. ; Gao, Qimeng ; Ibrahim, Mohamed M. ; Parker, William ; Granek, Joshua a. ; Lin, Shu S. ; McKenney, Erin a. ; Barbas, Andrew S.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
LAN Traffic Capture Applications Using the Libtins Library,"Costin, Adrian-Tiberiu ; Zinca, Daniel ; Dobrota, Virgil",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
A Pattern-based Function and Workflow Visual Environment for FaaS Development across the Continuum,"Kousiouris, George ; Ambroziak, Szymon ; Zarzycki, Blazej ; Costantino, Domenico ; Tsarsitalidis, Stylianos ; Katevas, Vasileios ; Mamelli, Alessandro ; Stamati, Teta",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"A Containerized Microservices Architecture with Reinforcement Learning for Scalable, Adaptive Learning","Gong, Yanxia ; Cai, Kai",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Using DevContainers to Standardize Student Development Environments: An Experience Report,"Valstar, Sander ; Griswold, William G. ; Porter, Leo",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
A computational EXFOR database,"Schnabel, Georg",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
An approach to build consistent software architecture diagrams using devops system descriptors,"Nicacio, Jalves ; Petrillo, Fabio",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
The “Courage Companion” – An AI-Supported Environment for Training Teenagers in Handling Social Media Critically and Responsibly,"Aprin, Farbod ; Malzahn, Nils ; Lomonaco, Francesco ; Donabauer, Gregor ; Ognibene, Dimitri ; Kruschwitz, Udo ; Hernández-Leo, Davinia ; Fulantelli, Giovanni ; Hoppe, H. Ulrich; Fulantelli, Giovanni ; Burgos, Daniel ; Casalino, Gabriella ; Cimitile, Marta ; Lo Bosco, Giosuè ; Taibi, Davide",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"What constitutes Software?: An Empirical, Descriptive Study of Artifacts","Pfeiffer, Rolf-Helge",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Morphological and genetic polymorphisms in Rhipicephalus sanguineus (Latreille 1806) from the Iberian Peninsula,"Rosa, F. ; Caeiro, M. F. ; Carvalho, M. ; Dias, D. ; Pina-Martins, F.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
On automated RBAC assessment by constructing a centralized perspective for microservice mesh,"Das, Dipta ; Walker, Andrew ; Bushong, Vincent ; Svacina, Jan ; Cerny, Tomas ; Matyas, Vashek",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
MicroRec: Leveraging Large Language Models for Microservice Recommendation,"Alsayed, Ahmed Saeed ; Dam, Hoa Khanh ; Nguyen, Chau",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"You Name It, I Run It: An LLM Agent to Execute Tests of Arbitrary Projects","Bouzenia, Islem ; Pradel, Michael",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
OmniGIRL: A Multilingual and Multimodal Benchmark for GitHub Issue Resolution,"Guo, Lianghong ; Tao, Wei ; Jiang, Runhan ; Wang, Yanlin ; Chen, Jiachi ; Liu, Xilin ; Ma, Yuchi ; Mao, Mingzhi ; Zhang, Hongyu ; Zheng, Zibin",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
R-Visor: An Extensible Dynamic Binary Instrumentation and Analysis Framework for Open Instruction Set Architectures,"Kayang, Edwin ; Paul, Mishel Jyothis ; Jahns, Eric ; Ozmen, Muslum Ozgur ; Stojkov, Milan ; Rudd, Kevin ; Kinsy, Michel A.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
